NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Felipe,Torres,Misterio,cl,31439,122,961.90,3
Keiji,Okamoto,Garireo,jp,4863,73,25723.60,6
Ryuji,Utsumi,DoraBang,jp,13303,260,5647.00,6
Ryo,Nozaki,Dogura,jp,3127,43,44973.20,43
Yoshiki,Kouno,Yoshiki,jp,28186,641,1203.20,1
Kizuki,Kudo,Tiku,jp,37009,831,601.60,1
Shunichi,Kubota,N-O,jp,37010,832,601.60,1
Satoshi,Kawai,Tochigin,jp,17549,362,3350.80,4
Neilimen,Alicea,Gutter Magic,us,8414,1684,12029.00,5
Grant,Gibson,Tswagg,us,37790,7329,582.60,4
Erik,Johnson,Pretty E,us,58258,11448,133.80,1
